epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,5055.83,0.36588,0.00421,0.00124,0.21238,0.83433,0.97864,0.96635,0.98378,0.9287,0.9934,0.97405,0.99016,0.98999,0.36439,0.00729,2e-05,0.26817,0.77601,0.000701588,0.000701588,0.000701588
39,5188.24,0.36119,0.00431,0.00111,0.209,0.83352,0.98605,0.95974,0.98379,0.92969,0.99343,0.97405,0.98996,0.9898,0.36537,0.00729,2e-05,0.26447,0.77732,0.000687222,0.000687222,0.000687222
40,5320.87,0.3566,0.00401,0.00036,0.20762,0.83104,0.98702,0.95975,0.98372,0.92987,0.99042,0.97818,0.99,0.98983,0.36527,0.00743,2e-05,0.26665,0.77876,0.000672675,0.000672675,0.000672675
41,5453.78,0.35558,0.00382,0.00024,0.20406,0.83222,0.97886,0.96581,0.98383,0.93073,0.99701,0.97052,0.9901,0.98982,0.36465,0.00751,2e-05,0.26649,0.78003,0.000657963,0.000657963,0.000657963
42,5585.73,0.35485,0.00392,0.00125,0.20307,0.83266,0.97912,0.96667,0.98327,0.93121,0.9914,0.97852,0.99018,0.9898,0.36566,0.00765,2e-05,0.25668,0.78383,0.000643101,0.000643101,0.000643101
43,5717.71,0.35378,0.00386,3e-05,0.20208,0.83231,0.97802,0.96848,0.98327,0.93186,0.9902,0.98045,0.99021,0.98993,0.36691,0.00772,2e-05,0.24685,0.78725,0.000628101,0.000628101,0.000628101
44,5847.55,0.34896,0.00397,3e-05,0.2017,0.82879,0.97771,0.96778,0.98305,0.93172,0.99043,0.9806,0.9901,0.98975,0.36484,0.00787,2e-05,0.25116,0.78618,0.000612981,0.000612981,0.000612981
45,5979.32,0.34776,0.00389,2e-05,0.19947,0.8298,0.97793,0.96713,0.98322,0.93226,0.99051,0.98084,0.99027,0.98992,0.3651,0.00798,2e-05,0.2455,0.78638,0.000597754,0.000597754,0.000597754
46,6111.08,0.34569,0.00373,0.00011,0.19825,0.82731,0.97794,0.96756,0.98378,0.93275,0.99094,0.98114,0.99026,0.98989,0.36326,0.00807,2e-05,0.24698,0.78403,0.000582435,0.000582435,0.000582435
47,6242.94,0.34167,0.00382,0.00011,0.19494,0.82828,0.97839,0.96625,0.98361,0.9333,0.99149,0.98109,0.9903,0.98995,0.36415,0.00815,2e-05,0.24481,0.78517,0.00056704,0.00056704,0.00056704
